seed,type,N,T,ρ_estimate,ρ_start,ρ_lower,ρ_upper,σₐ²_estimate,σₐ²_start,σₐ²_lower,σₐ²_upper,σᵤ²_estimate,σᵤ²_start,σᵤ²_lower,σᵤ²_upper,iterations,LL,V_norm_finalstep,V_norm_true,V,b₀₁,b₀₂,b₀₃,b₀₄,β₁,β₂,runtime,notes
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:39:56,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.138,0.1,0.0001,Inf,16.727,0.1,0.0001,Inf,2,-260287498977,0,,,378017.72,-45391.346,347855.77,314643.987,26517.938,-6.618,2022-01-30 13:40:17,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:40:17,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.103,0.1,0.0001,Inf,16.747,1,0.0001,Inf,2,-259977413233,0,,,378017.714,-45391.352,347855.764,314643.981,26517.938,-6.618,2022-01-30 13:40:40,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:40:40,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.101,0.1,0.0001,Inf,16.749,2,0.0001,Inf,2,-259960720806,0,,,378017.714,-45391.353,347855.764,314643.98,26517.938,-6.618,2022-01-30 13:41:00,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:41:00,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.1,0.1,0.0001,Inf,16.749,5,0.0001,Inf,2,-259955000948,0,,,378017.713,-45391.354,347855.763,314643.98,26517.938,-6.618,2022-01-30 13:41:22,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:41:22,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.1,0.1,0.0001,Inf,16.749,10,0.0001,Inf,2,-259954175581,0,,,378017.713,-45391.354,347855.763,314643.98,26517.938,-6.618,2022-01-30 13:41:43,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:41:43,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.1,0.1,0.0001,Inf,20,20,0.0001,Inf,2,-Inf,0,,,378017.713,-45391.354,347855.763,314643.98,26517.938,-6.618,2022-01-30 13:41:43,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:41:43,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
real data,Estimated,4,60,0.8785,0.8785,0.878,0.879,0.1,0.1,0.0001,Inf,50,50,0.0001,Inf,2,-Inf,0,,,378017.713,-45391.354,347855.763,314643.98,26517.938,-6.618,2022-01-30 13:41:44,Estimated parameters after convergence of the iterative method
,blank line,4,60,,,,,,,,,,,,,,,,,,,,,,,,,Row intentionally left blank for visual reasons.
real data,First-pass OLS Estimate,4,60,,,,,,,,,,,,,0,,,,,312489.7,-110919.366,282327.75,249115.967,32574.75,-108.555,2022-01-30 13:41:44,This is the first-pass OLS estimate of b₀ᵢ and β using real data (using GLS with the identity matrix).
